source,query_id,question,pred_linguistic,pred_semantic,pred_modality,pred_contextual,pred_intent,gold_linguistic,gold_semantic,gold_modality,gold_contextual,gold_intent,annotator,notes
DocBench/101,docbench_101_0,Was the document approved before it was revised?,Low,Low,Low,Medium,temporal,Medium,Medium,Low,Low,temporal,"AI-inferred (Claude, not human-verified)",
DocBench/101,docbench_101_1,How does OES plan to mitigate the risks associated with achieving climate goals and objectives?,Medium,Medium,Low,Medium,causal,High,High,Low,Medium,causal,"AI-inferred (Claude, not human-verified)",
DocBench/101,docbench_101_2,What is the goal that the Bureau Objective 1.1 supports regarding global conservation?,Medium,Low,Low,Medium,factual_lookup,Medium,Medium,Low,Medium,relationship,"AI-inferred (Claude, not human-verified)",'supports' = relation between objective and goal
DocBench/102,docbench_102_0,What is the objective number of the Bureau Cross-Cutting Management Objective discussed in the text?,Medium,Low,Low,Medium,factual_lookup,Low,Low,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/102,docbench_102_1,What is the page range for the 'Bureau Goals and Objectives' section?,Medium,Medium,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/102,docbench_102_2,What is the most common abbreviation in the report?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/102,docbench_102_3,What is the top 3 most frequent words mentioned in the report?,Medium,Low,Low,Medium,factual_lookup,Medium,Medium,Low,Low,multi_hop,"AI-inferred (Claude, not human-verified)",aggregation across whole document
DocBench/103,docbench_103_0,What will happen if the government fails to establish the relevance of Exhibits 6F and 11C?,Medium,Medium,Low,Medium,factual_lookup,High,High,Low,High,causal,"AI-inferred (Claude, not human-verified)",
DocBench/103,docbench_103_1,Did the Court allow the government to use proposed exhibits during the opening statement?,Medium,Low,Low,Medium,factual_lookup,Medium,Medium,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/103,docbench_103_2,Was the United States' Motion to use Photographs in Opening Statement granted?,Medium,Medium,Medium,Medium,visual_tabular,Medium,Medium,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)","'Photographs' is a trial-evidence topic, not a table/figure in this doc"
DocBench/104,docbench_104_0,How does Bureau Objective 2.1 support the JSP Goals overall?,Medium,Medium,Low,Low,causal,Medium,Medium,Low,Medium,causal,"AI-inferred (Claude, not human-verified)",
DocBench/104,docbench_104_1,What is the purpose of Bureau Objective 1.2?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Medium,causal,"AI-inferred (Claude, not human-verified)",'purpose' framed as causal/definitional
DocBench/105,docbench_105_0,How does the Bureau plan to reduce the risk of visa fraud through their future objectives?,Medium,Low,Low,Low,causal,High,High,Low,Medium,causal,"AI-inferred (Claude, not human-verified)",
DocBench/105,docbench_105_1,What does the CA acronym stand for in the context of the document?,Medium,Low,Low,Low,factual_lookup,Low,Low,Low,Medium,definitional,"AI-inferred (Claude, not human-verified)",explicit 'stand for' = definitional
DocBench/105,docbench_105_2,What are the two main risks mentioned for the Management Objective Risk Consideration 1.6?,Medium,Medium,Low,Medium,factual_lookup,Medium,High,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/106,docbench_106_0,Does the Department serve as a payroll shared service provider for Federal agencies?,Medium,Low,Low,Low,factual_lookup,Low,Low,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/106,docbench_106_1,What solution is the Department implementing to replace legacy payroll systems?,Medium,Low,Low,Low,factual_lookup,Medium,Medium,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/106,docbench_106_2,Did the Unobligated Balance from Prior Year Budget Authority decrease from 2020 to 2021?,Medium,Medium,Low,Medium,temporal,Medium,High,Medium,High,temporal,"AI-inferred (Claude, not human-verified)",
DocBench/106,docbench_106_3,How many authorized positions were vacant in the division overseeing DS contracts within the Bureau of Administration?,Medium,Low,Low,Medium,factual_lookup,High,High,Low,High,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/107,docbench_107_0,Does El Salvador's Financial Intelligence Unit (FIU) have staffing issues?,Medium,Medium,Low,Medium,factual_lookup,Medium,Medium,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/107,docbench_107_1,What sectors did the 2018 National Risk Assessment (NRA) characterize as medium/high risk for money laundering?,High,Medium,Low,Low,factual_lookup,High,High,Low,High,factual_lookup,"AI-inferred (Claude, not human-verified)",AML/security-adjacent jargon
DocBench/107,docbench_107_2,"Has Brazil recovered any illicit funds blocked overseas due to ""Operation Carwash""?",Medium,Medium,Low,Medium,causal,Medium,Medium,Low,High,factual_lookup,"AI-inferred (Claude, not human-verified)","'due to' modifies the entity, not asking why"
DocBench/108,docbench_108_0,When was the document revised?,Low,Low,Low,Low,temporal,Low,Low,Low,Low,temporal,"AI-inferred (Claude, not human-verified)",
DocBench/108,docbench_108_1,"How many times does the report mention ""PM""?",Medium,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/108,docbench_108_2,Is there a concern about the loss of institutional knowledge due to employee retention issues?,Medium,Low,Low,Medium,causal,Medium,Medium,Low,Medium,causal,"AI-inferred (Claude, not human-verified)",
DocBench/108,docbench_108_3,What strategies will the Bureau use to help partners better counter non-state threats?,Medium,Low,Low,Low,comparative,Medium,High,Low,High,factual_lookup,"AI-inferred (Claude, not human-verified)",nothing being compared; direct lookup of strategy
DocBench/109,docbench_109_0,When was the document approved?,Low,Low,Low,Low,temporal,Low,Low,Low,Low,temporal,"AI-inferred (Claude, not human-verified)",
DocBench/109,docbench_109_1,Which institutions or agencies release the document?,Low,Low,Low,Medium,factual_lookup,Medium,Medium,Low,Low,relationship,"AI-inferred (Claude, not human-verified)",asks who released/published
DocBench/109,docbench_109_2,Did the State Only Accounts receive any supplemental funding in 2020?,Medium,Low,Low,Low,factual_lookup,Medium,Medium,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/109,docbench_109_3,What are the potential consequences of inaction in addressing climate change mentioned in the document?,Medium,Low,Low,Medium,factual_lookup,High,High,Low,Medium,causal,"AI-inferred (Claude, not human-verified)",
DocBench/109,docbench_109_4,Does the East Asia and Pacific Joint Regional Strategy (JRS) have classified goals?,Medium,High,Low,Low,factual_lookup,Medium,High,Low,High,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/10,docbench_10_0,Did multilingual pre-training benefit all language pairs in this research?,Medium,Low,Low,Medium,factual_lookup,Medium,Medium,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/10,docbench_10_1,Why was English excluded from the linguistic similarity and pre-training study?,Medium,Medium,Low,Medium,causal,Medium,Medium,Low,Medium,causal,"AI-inferred (Claude, not human-verified)",
DocBench/10,docbench_10_2,Which dataset experienced the largest decrease in BLEU score after alignment according to Table 4?,Medium,Medium,Medium,Low,visual_tabular,Medium,High,High,Medium,visual_tabular,"AI-inferred (Claude, not human-verified)",explicit Table 4
DocBench/10,docbench_10_3,What is the total number of sentences in the training sets for Romance languages as given in Table 1?,Medium,Medium,Medium,Low,visual_tabular,Medium,Medium,High,Medium,visual_tabular,"AI-inferred (Claude, not human-verified)",explicit Table 1
DocBench/10,docbench_10_4,How many pages does the document have?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/10,docbench_10_5,What is the main content of page 10?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/110,docbench_110_0,Which Lebanese law enforcement organization worked with external forces to enhance their counterterrorism capabilities?,Medium,Low,Low,Medium,factual_lookup,Medium,High,Low,High,relationship,"AI-inferred (Claude, not human-verified)",'worked with' = relation between orgs
DocBench/110,docbench_110_1,What is the most common abbreviation in the document?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/110,docbench_110_2,How many chapters are there in total in the document?,Medium,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/110,docbench_110_3,Can you describe the trend in funding allocation for Humanitarian Assistance from the 2020 Estimate to the Grand Total for the same year?,High,Medium,Low,Medium,temporal,High,High,Medium,Medium,comparative,"AI-inferred (Claude, not human-verified)",'describe the trend' = compare values
DocBench/111,docbench_111_0,What is the main content of the last three pages of the document?,Medium,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/111,docbench_111_1,How many pages does the report have?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/111,docbench_111_2,What is the greatest risk to the Department due to inadequate attorney staffing levels?,Medium,Low,Low,Low,causal,Medium,Medium,Low,Medium,causal,"AI-inferred (Claude, not human-verified)",
DocBench/111,docbench_111_3,What is the Bureau's strategy for enhancing its employees' skills?,Medium,Low,Low,Medium,factual_lookup,Medium,Medium,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/112,docbench_112_0,"How many times does the document mention ""INSSG""?",Medium,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/112,docbench_112_1,What is the main content of the second-to-last page of the document?,Medium,Low,Low,Low,factual_lookup,Medium,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/112,docbench_112_2,What kind of resources are typically not required by neural network NER systems with minimal feature engineering?,Medium,Low,Low,Medium,factual_lookup,High,High,Low,High,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/113,docbench_113_0,What is the title of the document?,Low,Low,Low,Medium,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/113,docbench_113_1,How many words are there in the document?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/113,docbench_113_2,What is Bureau Goal 5 mainly talking about?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/113,docbench_113_3,What is the main focus of INL to mitigate the risks of criminals quickly adopting new methods of synthetic drug production?,High,Low,Low,Medium,factual_lookup,High,High,Low,High,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/113,docbench_113_4,Is disrupting synthetic drug markets one of the objectives of Bureau Goal 1?,Medium,Low,Low,Low,factual_lookup,Medium,Medium,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/114,docbench_114_0,"What is the purpose of the facility in Portsmouth, NH?",Medium,Medium,Low,Medium,factual_lookup,Medium,Medium,Low,Low,causal,"AI-inferred (Claude, not human-verified)",'purpose' framed as causal/definitional
DocBench/114,docbench_114_1,How does the U.S. Department of State support its diplomatic efforts in cities with multiple international organizations?,Medium,Low,Low,Medium,causal,High,High,Low,Medium,causal,"AI-inferred (Claude, not human-verified)",
DocBench/114,docbench_114_2,On which page does the report present the chart of U.S. Department of State Organization?,Medium,Low,Medium,Low,visual_tabular,Medium,Medium,High,Medium,visual_tabular,"AI-inferred (Claude, not human-verified)",explicit chart
DocBench/114,docbench_114_3,How many tables and figures are there in total in the document?,Medium,Medium,Medium,Low,visual_tabular,Medium,Medium,High,Low,visual_tabular,"AI-inferred (Claude, not human-verified)",explicit tables/figures
DocBench/114,docbench_114_4,What is the major content of page 200?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/115,docbench_115_0,On which page does the report detail the Bureau Objective 4.2?,Medium,Low,Low,Low,factual_lookup,Medium,Low,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/115,docbench_115_1,"How many times does the document mention ""DS""?",Medium,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/115,docbench_115_2,What is the revision date of the document?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Low,temporal,"AI-inferred (Claude, not human-verified)",asks for a date; consistent w/ 108_0
DocBench/116,docbench_116_0,What essential factors must be considered for S/GWI to foster regular outreach and coordination according to Bureau Objective 4.3?,High,Medium,Low,Low,factual_lookup,High,High,Low,High,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/116,docbench_116_1,What is the title of the document?,Low,Low,Low,Medium,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/116,docbench_116_2,What is the major message conveyed in the last page?,Medium,Low,Low,Low,factual_lookup,Medium,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/116,docbench_116_3,What is the primary focus of Bureau Objective 3.4?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/117,docbench_117_0,What is the most common abbreviation in the report?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/117,docbench_117_1,When was the document approved?,Low,Low,Low,Low,temporal,Low,Low,Low,Low,temporal,"AI-inferred (Claude, not human-verified)",
DocBench/117,docbench_117_2,when was the document revised?,Low,Low,Low,Low,temporal,Low,Low,Low,Low,temporal,"AI-inferred (Claude, not human-verified)",
DocBench/117,docbench_117_3,Does PEPFAR have experience working with marginalized populations?,Low,Low,Low,Medium,factual_lookup,Low,Low,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/117,docbench_117_4,Will PEPFAR increase its funding and support for community-led monitoring?,Medium,Medium,Low,Medium,factual_lookup,Medium,Medium,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/118,docbench_118_0,What institution or agency released the report?,Low,Low,Low,Medium,factual_lookup,Low,Low,Low,Low,relationship,"AI-inferred (Claude, not human-verified)",asks who released the report
DocBench/118,docbench_118_1,How many pages does the report have in total?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/118,docbench_118_2,What are the names of authors that wrote this document?,Medium,Low,Low,Medium,factual_lookup,Low,Low,Low,Low,relationship,"AI-inferred (Claude, not human-verified)",asks who wrote/authored
DocBench/11,docbench_11_0,What is the original figure number associated with the automatically generated knowledge graph?,Medium,Low,Medium,Medium,visual_tabular,Medium,Medium,High,Medium,visual_tabular,"AI-inferred (Claude, not human-verified)",explicit figure number
DocBench/11,docbench_11_1,What is the performance score for Entity Recognition when multitasked with Coreference Resolution?,Medium,Medium,Low,Medium,temporal,Medium,High,Medium,High,factual_lookup,"AI-inferred (Claude, not human-verified)","'when multitasked with' = joint-training condition, not timing"
DocBench/11,docbench_11_2,Which model has the highest F1 score for entity recognition on the Test set?,Medium,Low,Low,Medium,factual_lookup,Medium,Medium,Medium,Medium,comparative,"AI-inferred (Claude, not human-verified)",'highest' implies comparison across models
DocBench/11,docbench_11_3,Which model achieved the highest F1 score in span identification?,Medium,Low,Low,Low,factual_lookup,Medium,Medium,Medium,Medium,comparative,"AI-inferred (Claude, not human-verified)",'highest' implies comparison across models
DocBench/11,docbench_11_4,What is the document title?,Low,Low,Low,Medium,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/11,docbench_11_5,How many times does the document mention LSTM+CRF?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/1,docbench_1_0,How many Facebook comments were provided in the dataset for training purposes?,Medium,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/1,docbench_1_1,How many categories of aggression were participants asked to classify texts into?,Medium,Low,Low,Low,factual_lookup,Medium,Medium,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
RobotManuals/UR5e,robot_UR5e_0,What performance level and architecture category are UR5e safety functions and safety I/O built to?,Medium,High,Low,Medium,factual_lookup,High,High,Medium,High,factual_lookup,"AI-inferred (Claude, not human-verified)",
RobotManuals/UR5e,robot_UR5e_1,"What stop category is initiated if the UR5e robot discovers a fault or violation in the safety system, such as a cut Emergency Stop wire?",High,Medium,Low,Medium,factual_lookup,High,High,Low,High,causal,"AI-inferred (Claude, not human-verified)","conditional 'if fault/violation, what stop category'"
RobotManuals/UR5e,robot_UR5e_2,"According to the UR5e manual's danger notes, what happens if a programming error causes a 12V signal to become 24V?",High,Medium,Low,Low,factual_lookup,High,High,Low,High,causal,"AI-inferred (Claude, not human-verified)","conditional 'if X causes Y, what happens'"
RobotManuals/UR5e,robot_UR5e_3,Is the UR5e's end effector (tool/gripper) protected by the robot's built-in safety system?,High,Low,Low,Low,factual_lookup,Medium,Medium,Low,High,factual_lookup,"AI-inferred (Claude, not human-verified)",
RobotManuals/UR5e,robot_UR5e_4,"What must safety configuration parameters be based on, according to the UR5e manual's warning notes?",Medium,Low,Low,Low,factual_lookup,Medium,Medium,Low,High,factual_lookup,"AI-inferred (Claude, not human-verified)",
RobotManuals/Spot,robot_Spot_0,What is Spot's 'smart freeze' behavior?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Medium,definitional,"AI-inferred (Claude, not human-verified)",asks what a named behavior/feature is
RobotManuals/Spot,robot_Spot_1,"What stop category and standard does Spot's safety-related stop correspond to, and what is its maximum response time?",High,High,Low,Medium,factual_lookup,High,High,Medium,High,multi_hop,"AI-inferred (Claude, not human-verified)","two chained facts: stop category+standard, and response time"
RobotManuals/Spot,robot_Spot_2,"According to Spot's Instructions for Use, what happens to Spot when its motors are de-energized on an inclined surface or stairs?",High,Medium,Low,Medium,temporal,High,High,Low,High,causal,"AI-inferred (Claude, not human-verified)","conditional 'when motors de-energized, what happens'"
RobotManuals/Spot,robot_Spot_3,How can Spot's safety-related stop be triggered externally?,Medium,Low,Low,Low,factual_lookup,Medium,Low,Low,High,factual_lookup,"AI-inferred (Claude, not human-verified)",
RobotManuals/SICK,robot_SICK_0,"According to the SICK white paper, what is the difference between a 'cooperative' and a 'collaborative' human-robot application?",High,Medium,Low,Medium,comparative,High,High,Low,High,comparative,"AI-inferred (Claude, not human-verified)",explicit 'difference between X and Y'
RobotManuals/SICK,robot_SICK_1,What four collaborative operating modes does ISO/TS 15066 define for collaborative robots?,Medium,Medium,Low,Low,factual_lookup,Medium,High,Low,High,multi_hop,"AI-inferred (Claude, not human-verified)",enumerates 4 distinct modes
RobotManuals/SICK,robot_SICK_2,"Which two ISO standards does the white paper identify as the foundation for industrial robot safety, which ISO/TS 15066 then supplements for collaborative applications?",High,High,Low,Medium,factual_lookup,High,High,Low,High,multi_hop,"AI-inferred (Claude, not human-verified)",2 standards + supplementary relation
RobotManuals/SICK,robot_SICK_3,"According to the white paper, what two categories of measures are used to reduce risk in collaborative robot applications?",High,Low,Low,Medium,factual_lookup,High,High,Low,High,multi_hop,"AI-inferred (Claude, not human-verified)",enumerates 2 categories
RobotManuals/SICK,robot_SICK_4,"Does having a robot manufacturer's inherently safe design features relieve a system integrator of its own risk-assessment obligations, according to the white paper's conclusion?",High,Low,Low,Medium,factual_lookup,High,High,Low,High,factual_lookup,"AI-inferred (Claude, not human-verified)",
RobotManuals/SICK,robot_SICK_5,What safety-related control system performance level does the white paper say collaborative operation requires?,Medium,Low,Low,Medium,factual_lookup,Medium,Medium,Low,High,factual_lookup,"AI-inferred (Claude, not human-verified)",
RobotManuals/KUKA,robot_KUKA_0,"According to the KUKA Sunrise Cabinet Med manual, which manipulator currently supports Stop category 1, and what stop category is executed for other manipulators?",High,Medium,Low,Low,factual_lookup,High,High,Low,High,multi_hop,"AI-inferred (Claude, not human-verified)",2-part question: this manipulator + other manipulators
RobotManuals/KUKA,robot_KUKA_1,What happens during a Stop category 0 according to the KUKA manual?,Medium,Low,Low,Low,factual_lookup,Low,Low,Low,High,factual_lookup,"AI-inferred (Claude, not human-verified)",
RobotManuals/KUKA,robot_KUKA_2,"In Stop category 1 (path-maintaining) triggered by the safety controller, by when must the brakes be applied and drives switched off?",High,Medium,Low,Medium,temporal,High,High,Low,High,temporal,"AI-inferred (Claude, not human-verified)",asks 'by when'
RobotManuals/KUKA,robot_KUKA_3,Who does the KUKA manual define as a 'system integrator' in the context of the LBR Med?,Medium,Low,Low,Low,factual_lookup,Low,Low,Low,Medium,definitional,"AI-inferred (Claude, not human-verified)",asks what a term is defined as
RobotManuals/Husqvarna,robot_Husqvarna_0,"According to the Husqvarna Automower manual, what is the minimum age at which a child may be permitted to use the appliance, and under what condition?",High,Medium,Low,Medium,factual_lookup,High,High,Low,Medium,multi_hop,"AI-inferred (Claude, not human-verified)",2-part: minimum age + condition
RobotManuals/Husqvarna,robot_Husqvarna_1,"Per the Husqvarna Automower manual, may children perform cleaning or maintenance on the robot mower without supervision?",Medium,Low,Low,Medium,factual_lookup,Medium,Low,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
RobotManuals/Husqvarna,robot_Husqvarna_2,What does the Husqvarna manual warn about connecting the power supply when the plug or cord is damaged?,Medium,Medium,Low,Low,temporal,Medium,Medium,Low,Medium,causal,"AI-inferred (Claude, not human-verified)","conditional 'when damaged, what to warn'"
RobotManuals/Husqvarna,robot_Husqvarna_3,What does the Husqvarna Automower manual instruct regarding disposal of the battery?,Medium,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
RobotManuals/Roomba,robot_Roomba_0,"How far away from stairs should the Roomba s9's Home Base charging station be placed, according to the owner's guide?",High,Low,Low,Low,temporal,High,Medium,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)","spatial/placement fact, not timing"
RobotManuals/Roomba,robot_Roomba_1,"Per the Roomba s9 guide's maintenance table, how often should the Filter be cleaned, and how often should it be replaced?",High,Medium,Medium,Medium,multi_hop,High,High,High,Medium,multi_hop,"AI-inferred (Claude, not human-verified)",explicit maintenance table
RobotManuals/Roomba,robot_Roomba_2,"According to the Roomba s9 owner's guide, what should you do before shipping the robot with its lithium ion battery included?",High,Medium,Low,Medium,temporal,High,High,Low,Medium,temporal,"AI-inferred (Claude, not human-verified)",'before shipping' = sequencing
RobotManuals/Roomba,robot_Roomba_3,What does the Roomba s9 guide say about using unauthorized chargers?,Medium,Low,Low,Low,factual_lookup,Low,Low,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
RobotManuals/Roomba,robot_Roomba_4,What minimum age is specified in the Roomba s9 guide for children who may use the appliance under supervision?,Medium,Low,Low,Low,factual_lookup,Medium,Low,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
