source,query_id,question,pred_linguistic,pred_semantic,pred_modality,pred_contextual,pred_intent,gold_linguistic,gold_semantic,gold_modality,gold_contextual,gold_intent,annotator,notes
DocBench/110,docbench_110_0,Which Lebanese law enforcement organization worked with external forces to enhance their counterterrorism capabilities?,Medium,Low,Low,Medium,factual_lookup,Medium,High,Low,High,relationship,"AI-inferred (Claude, not human-verified)",'worked with' = relation between orgs
DocBench/102,docbench_102_3,What is the top 3 most frequent words mentioned in the report?,Medium,Low,Low,Medium,factual_lookup,Medium,Medium,Low,Low,multi_hop,"AI-inferred (Claude, not human-verified)",aggregation across whole document
DocBench/10,docbench_10_2,Which dataset experienced the largest decrease in BLEU score after alignment according to Table 4?,Medium,Medium,Medium,Low,visual_tabular,Medium,High,High,Medium,visual_tabular,"AI-inferred (Claude, not human-verified)",explicit Table 4
DocBench/11,docbench_11_3,Which model achieved the highest F1 score in span identification?,Medium,Low,Low,Low,factual_lookup,Medium,Medium,Medium,Medium,comparative,"AI-inferred (Claude, not human-verified)",'highest' implies comparison across models
DocBench/114,docbench_114_2,On which page does the report present the chart of U.S. Department of State Organization?,Medium,Low,Medium,Low,visual_tabular,Medium,Medium,High,Medium,visual_tabular,"AI-inferred (Claude, not human-verified)",explicit chart
DocBench/105,docbench_105_1,What does the CA acronym stand for in the context of the document?,Medium,Low,Low,Low,factual_lookup,Low,Low,Low,Medium,definitional,"AI-inferred (Claude, not human-verified)",explicit 'stand for' = definitional
DocBench/104,docbench_104_0,How does Bureau Objective 2.1 support the JSP Goals overall?,Medium,Medium,Low,Low,causal,Medium,Medium,Low,Medium,causal,"AI-inferred (Claude, not human-verified)",
DocBench/114,docbench_114_3,How many tables and figures are there in total in the document?,Medium,Medium,Medium,Low,visual_tabular,Medium,Medium,High,Low,visual_tabular,"AI-inferred (Claude, not human-verified)",explicit tables/figures
DocBench/101,docbench_101_2,What is the goal that the Bureau Objective 1.1 supports regarding global conservation?,Medium,Low,Low,Medium,factual_lookup,Medium,Medium,Low,Medium,relationship,"AI-inferred (Claude, not human-verified)",'supports' = relation between objective and goal
RobotManuals/KUKA,robot_KUKA_0,"According to the KUKA Sunrise Cabinet Med manual, which manipulator currently supports Stop category 1, and what stop category is executed for other manipulators?",High,Medium,Low,Low,factual_lookup,High,High,Low,High,multi_hop,"AI-inferred (Claude, not human-verified)",2-part question: this manipulator + other manipulators
DocBench/100,docbench_100_0,What is the purpose of applying data and analytics as per the Department's goals?,Medium,Medium,Low,Low,factual_lookup,Medium,Medium,Low,Medium,causal,"AI-inferred (Claude, not human-verified)",'purpose' framed as causal/definitional
DocBench/110,docbench_110_2,How many chapters are there in total in the document?,Medium,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/11,docbench_11_0,What is the original figure number associated with the automatically generated knowledge graph?,Medium,Low,Medium,Medium,visual_tabular,Medium,Medium,High,Medium,visual_tabular,"AI-inferred (Claude, not human-verified)",explicit figure number
DocBench/117,docbench_117_1,When was the document approved?,Low,Low,Low,Low,temporal,Low,Low,Low,Low,temporal,"AI-inferred (Claude, not human-verified)",
DocBench/118,docbench_118_2,What are the names of authors that wrote this document?,Medium,Low,Low,Medium,factual_lookup,Low,Low,Low,Low,relationship,"AI-inferred (Claude, not human-verified)",asks who wrote/authored
DocBench/101,docbench_101_0,Was the document approved before it was revised?,Low,Low,Low,Medium,temporal,Medium,Medium,Low,Low,temporal,"AI-inferred (Claude, not human-verified)",
RobotManuals/Spot,robot_Spot_0,What is Spot's 'smart freeze' behavior?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Medium,definitional,"AI-inferred (Claude, not human-verified)",asks what a named behavior/feature is
DocBench/0,docbench_0_6,How many time does the paper mention WikiText-2?,Low,Low,Low,Medium,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/109,docbench_109_0,When was the document approved?,Low,Low,Low,Low,temporal,Low,Low,Low,Low,temporal,"AI-inferred (Claude, not human-verified)",
RobotManuals/Spot,robot_Spot_1,"What stop category and standard does Spot's safety-related stop correspond to, and what is its maximum response time?",High,High,Low,Medium,factual_lookup,High,High,Medium,High,multi_hop,"AI-inferred (Claude, not human-verified)","two chained facts: stop category+standard, and response time"
